S/N,WORLD,STATUS,DESCRIPTION
1,Batuu,Complete,"Batuu exists somewhere the rational mind cannot follow, only reachable when Ayahuasca pulls the veil back far enough. Ancient, alien, and indifferent to the sims who stumble into it. Whether it is real hardly matters. You were there."
2,Brindleton Bay,Almost Complete,"Salt air, harbour walks, and the kind of town where your dog is more popular than you are. Brindleton Bay is famous for it's coastal charm, sea breezes, and the unspoken agreement that animals have equal rights here , arguably more. Just don't be surprised if the locals know your pet's name before they know yours."
3,Britechester,Almost Complete,"Two universities, one town, and a centuries-old argument about which institution actually matters. In Britechester ,UBrite has the history; Foxbury has the audacity. Students split between ivy-draped lecture halls and glass-walled labs, united only by the pubs between them and the mutual insistence that the other side picked the wrong school."
4,Chestnut Ridge,Almost Complete,"Wide skies, wide land, and a way of life that hasn't changed much in generations, because why fix what isn't broken? Chestnut Ridge is filled with the rhythm of hooves, the smell of hay, and the quiet pride of people who know exactly who they are and where they belong."
5,Ciudad Enamorada,Active,"A city washed in warm light and lingering glances, where love settles into the air like perfume. In Ciudad Enamorada Lovers meet under soft lanterns, secrets slide between half-closed doors, and every quiet street holds the memory of someone�s confession. Magic hides in small places, desire moves through the night like a breeze, and hearts are won, lost, and found again with every sunrise.
"
6,Copperdale,Not Started,"A town built entirely around the experience of growing up and the varying degrees of damage that causes, where days revolve around school bells and evenings stretch into reckless choices and whispered secrets. Friendships feel permanent, mistakes feel public, and everyone learns who they are by surviving who they were."
7,Del sol Valley,Not Started,"Everyone here is either famous, adjacent to famous, or absolutely certain they're about to be. Del Sol Valley runs on ambition, sunscreen, and the quiet devastation of realising your driver is more recognisable than you are. The hills are golden, the deals are shadier than the palm trees, and the view from the top is worth every single thing it cost to get there."
8,Evergreen Harbor,Not Started,"Half industrial relic, half eco-revolution in progress, Evergreen Harbor can't quite decide what it wants to be. Community spaces share walls with factories, rave venues sit next to reclamation projects, and the people here are the kind who'd rather argue loudly about the future than quietly accept the present"
9,Forgotten hollow,Not Started,"The sun gave up on Forgotten Hollow a long time ago and frankly, the residents prefer it that way. Vampires run these streets, old ones, powerful ones, ones who have watched centuries pass from the same window. A handful of humans still live here too, for reasons that range from brave to deeply unwise. The shadows are not empty. They never were."
10,Gibbi Point,Not Started,"Many, many years ago, before it was inhabited, a great wave rushed through Gibbi Point to create a lush and fertile landscape. It became home to Jellyfish, Glow Worms and Plumbirds, it�s also where the world�s largest geyser, unusual caves of crystal, and a bioluminescent bay were formed. But it was more than these unusual creatures and natural wonders that drew Sims from all over to Gibbi Point."
11,Glimmerbrook,Not Started,"Quaint from the outside, considerably more complicated once you know where to look. Glimmerbrook is home to spellcasters, witches, fairies, plantsims, and at least one satyr who is not taking questions. Somewhere beyond the portal the sages maintain their uneasy watch, and the forest itself seems to have opinions. A lovely place to visit, If you can."
12,Granite Falls,Not Started,"No agenda, no signal, no problem. Granite Falls is where you go to unplug, breathe deeply, and rediscover that nature has been doing just fine without you. The rangers know every trail, the hermit knows things they probably shouldn't, and the bears are not interested in your review of the campsite. Rated four stars. The bears gave zero"
13,Henford-on-Bagley,Not Started,"All work and no drama make Henford-on-Bagley a passing visit, good things there's drama. Markets, festivals, fresh produce, and countryside that looks painted rather than grown. It's the kind of place where your eggs know your name and your vegetables have opinions. The land here has been worked for generations, and the people who work it have the kind of  pride that doesn't need an audience."
14,Innisgreen,Not Started,"Mist drapes the island in quiet enchantment, fairies tend the wildflowers, plantsims grow between the stones, satyrs mind their business, and the gnomes are far more informed than they let on. The land doesn't make a fuss, neither should you."
15,Magnolia Promanade,Not Started,"No one comes to Magnolia Promenade by accident. You come because you need something, or because you've convinced yourself you do, which amounts to the same thing. Boutiques, retailers, and business opportunities line every corner, and the foot traffic here has funded more than one empire. If it's for sale anywhere, it started here."
